TICKER,,Company Name
,,
ADANIPORTS,,mundra-port-special-eco.-zone
ASIANPAINT,,asian-paints
AXISBANK,,axis-bank
BAJAJ-AUTO,,bajaj-auto
BAJFINANCE,,bajaj-finance
BAJAJFINSV,,bajaj-finserv-limited
BPCL,,bharat-petroleum
BHARTIARTL,,bharti-airtel
BRITANNIA,,britannia-industries
CIPLA,,cipla
COALINDIA,,coal-india
DIVISLAB,,divis-laboratories
DRREDDY,,dr-reddys-laboratories
EICHERMOT,,eicher-motors
GRASIM,,grasim-industries
HCLTECH,,hcl-technologies
HDFCBANK,,hdfc-bank-ltd
HDFCLIFE,,hdfc-standard-life
HEROMOTOCO,,hero-motocorp
HINDALCO,,hindalco-industries
HINDUNILVR,,hindustan-unilever
HDFC,,housing-development-finance
ICICIBANK,,icici-bank-ltd
ITC,,itc
IOC,,indian-oil-corporation
INDUSINDBK,,indusind-bank
INFY,,infosys
JSWSTEEL,,jsw-steel
KOTAKBANK,,kotak-mahindra-bank
LT,,larsen---toubro
M&M,,mahindra---mahindra
MARUTI,,maruti-suzuki-india
NTPC,,ntpc
NESTLEIND,,nestle
ONGC,,oil---natural-gas-corporation
POWERGRID,,power-grid-corp.-of-india
RELIANCE,,reliance-industries
SBILIFE,,sbi-life-insurance
SHREECEM,,shree-cements
SBIN,,state-bank-of-india
SUNPHARMA,,sun-pharma-advanced-research
TCS,,tata-consultancy-services
TATACONSUM,,tata-global-beverages
TATAMOTORS,,tata-motors-ltd
TATASTEEL,,tata-steel
TECHM,,tech-mahindra
TITAN,,titan-industries
UPL,,united-phosphorus
ULTRACEMCO,,ultratech-cement
WIPRO,,wipro-ltd
